采集时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮
2018-03-31 00:00:00,12.743,8.35,7.975,224.645,2.243,1.12,0.04,0.006,0.168
2018-03-31 02:00:00,12.772,8.334,7.906,224.335,2.175,0.72,0.02,0.016,0.146
2018-03-31 04:00:00,12.773,8.328,7.845,224.414,2.13,1.03,0.02,0.105,0.148
2018-03-31 06:00:00,12.991,8.312,7.85,224.535,2.272,1.05,0.06,0.105,0.139
2018-03-31 08:00:00,13.074,8.09,7.869,224.532,2.249,1.54,0.07,0.112,0.163
2018-03-31 12:00:00,12.779,8.321,7.368,226.641,1.519,1.48,0.05,0.112,0.163
2018-10-26 00:00:00,16.097,7.757,7.562,235.88,1.339,0.92,0.09,0.029,0.189
2018-10-26 04:00:00,16.054,7.667,6.476,238.828,1.296,1.06,0.06,0.032,0.193
2018-10-26 08:00:00,15.982,7.704,7.167,237.546,1.362,1.06,0.07,0.033,0.194
2018-10-26 12:00:00,15.998,7.859,9.329,233.152,1.401,1.1,0.05,0.032,0.203
2018-10-26 16:00:00,16.157,7.881,9.28,231.39,1.436,0.78,0.08,0.033,0.216
2018-10-26 20:00:00,16.142,7.796,8.236,237.127,1.401,1.25,0.07,0.03,0.207
2018-10-30 00:00:00,15.664,7.701,7.61,237.863,1.311,0.98,0.05,0.033,0.194
2018-10-30 04:00:00,15.56,7.796,9.505,233.216,1.358,1.09,0.06,0.033,0.189
2018-10-30 08:00:00,15.476,7.833,9.128,237.89,1.38,1.16,0.06,0.033,0.216
2018-10-30 12:00:00,15.517,7.819,9.524,234.205,1.521,1.11,0.07,0.032,0.181
2018-10-30 16:00:00,15.542,7.777,8.194,237.907,1.432,1.06,0.05,0.031,0.23
2018-10-30 20:00:00,15.505,7.74,8.075,236.234,1.348,1.11,0.08,0.03,0.256
2018-11-21 00:00:00,13.186,8.079,6.112,243.034,1.318,1.68,0.07,0.011,0.483
2018-11-21 04:00:00,13.024,8.238,7.342,239.621,1.461,1.59,0.05,0.009,0.482
2018-11-21 08:00:00,12.896,8.286,7.637,239.117,1.391,1.57,0.03,0.012,0.481
2018-11-21 12:00:00,12.942,8.215,6.87,241.701,1.456,1.64,0.05,0.011,0.491
2018-11-21 16:00:00,13.068,8.046,5.85,244.724,1.325,1.59,0.04,0.009,0.502
2018-11-21 20:00:00,13.117,7.992,5.796,245.837,1.276,1.57,0.07,0.01,0.494
2018-11-28 00:00:00,12.726,7.884,6.599,243.917,1.278,1.68,0.09,0.008,0.508
2018-11-28 04:00:00,12.589,7.997,7.387,241.136,1.311,1.7,0.07,0.007,0.51
2018-11-28 08:00:00,12.435,8.028,7.623,240.558,1.4,1.69,0.07,0.009,0.51
2018-11-28 12:00:00,12.447,8.009,7.173,242.119,1.387,1.66,0.07,0.008,0.511
2018-11-28 16:00:00,12.559,7.885,6.331,243.855,1.351,1.65,0.09,0.009,0.524
2018-11-28 20:00:00,12.626,7.83,6.193,244.828,1.361,1.81,0.07,0.009,0.508
2018-12-02 00:00:00,12.54,7.802,6.541,246.09,1.588,1.54,0.08,0.0,0.0
2018-12-02 04:00:00,12.367,7.956,7.337,242.265,1.726,1.04,0.07,0.969,0.472
2018-12-02 10:00:00,12.281,7.982,7.988,178.292,4.767,1.06,0.04,0.012,0.632
2018-12-02 13:00:00,12.588,8.134,8.711,149.532,5.853,1.18,0.0,0.008,0.0
2018-12-02 16:00:00,12.781,8.101,8.725,238.824,1.629,2.9,0.08,0.008,0.0
2018-12-02 20:00:00,12.704,8.121,8.987,237.824,1.694,1.6,0.07,0.011,0.104
2018-12-03 00:00:00,12.543,8.13,8.763,238.63,1.607,1.49,0.11,0.012,0.178
2018-12-03 04:00:00,12.333,8.134,8.613,239.296,1.516,0.96,0.08,0.011,0.17
2018-12-03 08:00:00,12.192,8.135,8.646,239.447,1.52,1.64,0.1,0.013,0.164
2018-12-03 12:00:00,12.313,8.154,8.891,239.079,1.606,0.98,0.06,0.012,0.164
2018-12-03 16:00:00,12.563,8.173,9.073,238.064,1.808,0.97,0.07,0.01,0.193
2018-12-03 20:00:00,12.473,8.175,9.082,237.825,1.724,1.33,0.08,0.01,0.158
2018-12-04 00:00:00,12.317,8.15,8.857,238.567,1.609,1.54,0.06,0.012,0.158
2018-12-04 04:00:00,12.172,8.144,8.862,238.944,1.619,1.61,0.09,0.011,0.177
2018-12-04 08:00:00,12.031,8.144,8.682,239.169,1.562,0.98,0.05,0.011,0.179
2018-12-04 12:00:00,12.189,8.141,8.731,239.197,1.469,0.99,0.06,0.011,0.172
2018-12-04 16:00:00,12.482,8.152,9.105,237.928,1.631,1.6,0.07,0.011,0.18
2018-12-04 20:00:00,12.452,8.186,9.389,237.04,1.835,1.5,0.1,0.011,0.173
2018-12-05 00:00:00,12.249,8.168,9.254,237.793,1.557,1.58,0.05,0.012,0.184
2018-12-05 04:00:00,12.037,8.145,8.888,238.831,1.5,0.0,0.07,0.009,0.172
2018-12-05 08:00:00,11.904,8.145,8.6,239.373,1.372,0.0,0.08,0.0,0.0
2018-12-05 12:00:00,12.115,8.126,8.701,239.332,1.589,1.52,0.08,0.012,0.157
2018-12-05 16:00:00,12.408,8.151,9.168,237.921,1.464,1.04,0.08,0.017,0.183
2018-12-05 20:00:00,12.341,8.148,9.271,237.27,1.615,1.65,0.1,0.01,0.167
2018-12-06 00:00:00,12.225,8.145,9.199,238.034,1.622,1.6,0.05,0.013,0.16
2018-12-06 04:00:00,12.068,8.112,8.803,239.311,1.432,1.01,0.09,0.011,0.166
