,Unnamed: 0,时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮,湿度,室温,叶绿素,藻密度
0,0,2022-09-22 20:00:00,19.779,7.98,6.045,242.098,4.375,0.685,0.006,0.006,0.246,,,,
1,1,2022-09-22 16:00:00,19.764,8.03,6.158,240.93,5.518,0.954,0.005,0.004,0.256,,,,
2,2,2022-09-22 12:00:00,19.72,8.06,6.076,241.125,4.72,0.719,0.006,0.006,0.241,,,,
3,3,2022-09-22 08:00:00,19.716,8.06,6.211,240.581,4.459,0.817,0.005,0.003,0.234,,,,
4,4,2022-09-22 04:00:00,19.755,8.07,6.169,241.515,4.953,0.799,0.005,0.006,0.251,,,,
5,5,2022-09-22 00:00:00,19.85,8.02,6.172,241.58,5.187,0.816,0.006,0.006,0.247,,,,
6,6,2022-09-21 20:00:00,19.919,7.98,5.865,242.053,5.275,0.828,0.006,0.006,0.248,,,,
7,7,2022-09-21 16:00:00,19.954,8.01,6.07,240.146,21.485,0.799,0.006,0.006,0.252,,,,
8,8,2022-09-21 12:00:00,19.9,8.03,6.208,238.448,40.548,0.862,0.006,0.007,0.272,,,,
9,9,2022-09-21 08:00:00,19.836,8.08,6.514,237.082,45.216,0.925,0.005,0.007,0.24,,,,
10,10,2022-09-21 04:00:00,19.938,8.05,6.373,237.405,76.776,0.887,0.004,0.01,0.267,,,,
11,11,2022-09-21 00:00:00,19.976,8.09,6.411,237.824,48.158,0.544,0.005,0.006,0.233,,,,
12,12,2022-09-20 20:00:00,20.127,8.06,6.459,236.777,51.46,0.623,0.004,0.007,0.234,,,,
13,13,2022-09-20 16:00:00,20.196,8.03,6.282,237.313,62.055,0.901,0.005,0.008,0.264,,,,
14,14,2022-09-20 12:00:00,20.143,7.97,6.285,238.577,33.707,0.615,0.006,0.006,0.262,,,,
15,15,2022-09-20 08:00:00,20.144,7.98,6.256,237.12,45.001,0.853,0.006,0.003,0.252,,,,
16,16,2022-09-20 04:00:00,20.181,8.02,6.386,235.9,60.287,0.866,0.005,0.006,0.251,,,,
17,17,2022-09-20 00:00:00,20.214,8.11,6.815,233.398,62.199,0.657,0.004,0.006,0.237,,,,
18,18,2022-09-19 20:00:00,20.288,8.07,6.656,234.503,72.472,0.526,0.007,0.006,0.253,,,,
19,19,2022-09-19 16:00:00,20.258,8.02,6.335,238.506,56.123,0.665,0.006,0.006,0.244,,,,
20,20,2022-09-19 12:00:00,20.006,7.85,5.658,242.872,35.502,0.778,0.005,0.007,0.244,,,,
21,21,2022-09-19 08:00:00,19.89,7.79,5.471,245.264,43.071,0.866,0.006,0.005,0.245,,,,
22,22,2022-09-19 04:00:00,19.873,7.91,5.649,242.757,69.665,0.769,0.005,0.006,0.25,,,,
23,23,2022-09-19 00:00:00,19.904,8.05,6.226,239.805,54.868,0.761,0.005,0.007,0.242,,,,
24,24,2022-09-18 20:00:00,19.964,8.06,6.201,239.425,54.729,0.787,0.005,0.004,0.247,,,,
25,25,2022-09-18 16:00:00,19.992,8.02,6.146,240.722,53.143,0.74,0.004,0.005,0.246,,,,
26,26,2022-09-18 12:00:00,19.858,7.95,5.799,242.985,44.227,0.727,0.006,0.006,0.238,,,,
27,27,2022-09-18 08:00:00,19.745,7.95,5.968,242.745,38.291,0.843,0.005,0.004,0.229,,,,
28,28,2022-09-18 04:00:00,19.727,8.03,6.131,241.826,54.276,0.846,0.004,0.005,0.237,,,,
29,29,2022-09-18 00:00:00,19.801,8.06,6.09,241.205,51.656,0.782,0.004,0.004,0.225,,,,
30,30,2022-09-17 20:00:00,19.852,8.07,6.176,240.239,41.602,0.753,0.005,0.007,0.222,,,,
31,31,2022-09-17 16:00:00,19.961,8.04,6.112,240.976,52.999,0.769,0.006,0.008,0.234,,,,
32,32,2022-09-17 12:00:00,19.799,7.98,5.912,242.375,30.956,0.707,0.006,0.004,0.252,,,,
33,33,2022-09-17 08:00:00,19.668,7.99,5.953,242.484,31.655,0.584,0.006,0.006,0.258,,,,
34,34,2022-09-17 04:00:00,19.672,8.0,6.012,242.625,36.001,0.753,0.006,0.007,0.258,,,,
35,35,2022-09-17 00:00:00,19.699,8.06,6.075,241.2,54.388,0.807,0.006,0.007,0.252,,,,
36,36,2022-09-16 20:00:00,19.737,8.06,6.149,240.662,33.698,0.885,0.006,0.006,0.251,,,,
37,37,2022-09-16 16:00:00,19.755,8.04,6.096,241.312,38.202,0.867,0.006,0.006,0.25,,,,
38,38,2022-09-16 12:00:00,19.635,8.03,6.05,241.673,44.47,0.691,0.006,0.005,0.268,,,,
39,39,2022-09-16 08:00:00,19.533,8.14,6.309,238.77,45.845,0.677,0.006,0.007,0.257,,,,
40,40,2022-09-16 04:00:00,19.608,8.14,6.369,238.714,29.253,0.677,0.005,0.005,0.23,,,,
41,41,2022-09-16 00:00:00,19.687,8.16,6.412,239.276,79.453,0.677,0.005,0.005,0.249,,,,
42,42,2022-09-15 20:00:00,19.74,8.14,6.414,239.181,47.179,0.677,0.005,0.006,0.235,,,,
43,43,2022-09-15 16:00:00,19.806,8.07,6.177,239.269,46.974,0.677,0.006,0.006,0.261,,,,
44,44,2022-09-15 12:00:00,19.76,8.12,6.283,238.571,52.77,0.677,0.005,0.007,0.259,,,,
45,45,2022-09-15 08:00:00,19.692,8.1,6.35,236.968,29.151,0.715,0.004,0.006,0.247,,,,
46,46,2022-09-15 04:00:00,19.801,8.05,6.451,235.681,63.943,0.817,0.003,0.007,0.244,,,,
47,47,2022-09-15 00:00:00,19.829,8.13,6.697,235.227,51.464,0.694,0.004,0.008,0.244,,,,
48,48,2022-09-14 20:00:00,19.878,8.07,6.515,237.234,99.887,0.568,0.005,0.007,0.241,,,,
49,49,2022-09-14 16:00:00,19.847,8.01,6.042,240.329,92.561,0.623,0.005,0.006,0.271,,,,
50,50,2022-09-14 12:00:00,19.721,7.9,5.871,242.834,70.504,0.706,0.005,0.004,0.242,,,,
51,51,2022-09-14 08:00:00,19.579,7.89,5.575,244.566,54.882,0.643,0.004,0.007,0.252,,,,
52,52,2022-09-14 04:00:00,19.612,7.99,5.952,242.574,48.237,0.778,0.004,0.007,0.244,,,,
53,53,2022-09-14 00:00:00,19.608,8.11,6.233,240.34,66.265,0.745,0.004,0.004,0.241,,,,
54,54,2022-09-13 20:00:00,19.677,8.09,6.242,240.658,65.379,0.543,0.005,0.007,0.238,,,,
55,55,2022-09-13 16:00:00,19.677,8.08,6.166,241.636,33.352,0.841,0.004,0.007,0.258,,,,
56,56,2022-09-13 12:00:00,19.513,7.95,5.827,243.383,81.677,0.884,0.003,0.008,0.268,,,,
57,57,2022-09-13 08:00:00,19.412,8.0,5.937,243.346,50.83,0.816,0.004,0.007,0.265,,,,
58,58,2022-09-13 04:00:00,19.494,8.1,6.23,241.118,56.78,0.689,0.003,0.006,0.233,,,,
59,59,2022-09-13 00:00:00,19.524,8.08,6.08,242.782,55.782,0.514,0.004,0.005,0.249,,,,
60,60,2022-09-12 20:00:00,19.609,8.09,6.149,240.534,58.109,0.799,0.004,0.005,0.237,,,,
61,61,2022-09-12 16:00:00,19.692,8.09,6.211,241.309,42.404,0.551,0.004,0.007,0.249,,,,
62,62,2022-09-12 12:00:00,19.578,8.08,6.325,240.839,38.496,0.858,0.003,0.005,0.239,,,,
63,63,2022-09-12 08:00:00,19.517,8.09,6.288,240.295,83.23,0.462,0.003,0.006,0.232,,,,
64,64,2022-09-12 04:00:00,19.567,8.02,5.858,242.405,38.599,0.748,0.004,0.006,0.262,,,,
65,65,2022-09-12 00:00:00,19.612,8.15,6.293,239.627,39.555,0.912,0.003,0.007,0.25,,,,
66,66,2022-09-11 20:00:00,19.668,8.17,6.373,239.662,64.428,0.908,0.004,0.008,0.249,,,,
67,67,2022-09-11 16:00:00,19.69,8.14,6.468,239.726,37.442,0.883,0.004,0.004,0.246,,,,
68,68,2022-09-11 12:00:00,19.517,8.14,6.35,240.596,68.303,0.778,0.004,0.004,0.225,,,,
69,69,2022-09-11 08:00:00,19.389,8.18,6.202,240.516,31.422,0.518,0.003,0.007,0.226,,,,
70,70,2022-09-11 04:00:00,19.516,8.14,6.158,242.295,33.441,0.758,0.002,0.005,0.213,,,,
71,71,2022-09-11 00:00:00,19.608,8.05,5.823,243.474,41.527,0.644,0.004,0.006,0.229,,,,
72,72,2022-09-10 20:00:00,19.611,8.07,5.923,242.576,37.68,0.774,0.004,0.006,0.219,,,,
73,73,2022-09-10 16:00:00,19.624,8.09,6.178,240.315,42.352,0.647,0.003,0.006,0.225,,,,
74,74,2022-09-10 12:00:00,19.524,8.14,6.115,239.947,34.649,0.727,0.003,0.007,0.28,,,,
75,75,2022-09-10 08:00:00,19.52,8.14,6.094,239.984,86.937,0.813,0.004,0.006,0.261,,,,
76,76,2022-09-10 04:00:00,19.659,8.14,6.153,240.971,55.507,0.695,0.004,0.006,0.261,,,,
77,77,2022-09-10 00:00:00,19.744,8.14,6.309,241.577,47.123,0.769,0.003,0.005,0.261,,,,
78,78,2022-09-09 20:00:00,19.836,8.05,5.927,244.242,65.748,0.689,0.003,0.004,0.261,,,,
79,79,2022-09-09 16:00:00,19.834,8.02,5.819,244.507,26.316,0.778,0.004,0.007,0.261,,,,
80,80,2022-09-09 12:00:00,19.78,8.08,5.948,242.913,64.563,0.889,0.003,0.006,0.261,,,,
81,81,2022-09-09 08:00:00,19.749,8.14,6.014,242.155,22.133,0.681,0.003,0.005,0.261,,,,
82,82,2022-09-09 04:00:00,19.789,8.12,6.009,242.838,39.727,0.685,0.003,0.006,0.261,,,,
83,83,2022-09-09 00:00:00,19.854,8.11,6.11,242.774,41.933,0.832,0.003,0.007,0.261,,,,
84,84,2022-09-08 20:00:00,19.92,8.14,6.089,241.699,25.532,0.78,0.002,0.006,0.261,,,,
85,85,2022-09-08 16:00:00,19.971,8.1,6.126,241.163,53.843,0.744,0.003,0.006,0.288,,,,
86,86,2022-09-08 12:00:00,19.934,8.14,5.981,241.373,38.151,0.799,0.003,0.006,0.256,,,,
87,87,2022-09-08 08:00:00,19.939,8.16,6.096,241.11,45.328,0.9,0.003,0.008,0.289,,,,
88,88,2022-09-08 04:00:00,20.061,8.15,6.096,241.07,50.065,0.793,0.002,0.004,0.244,,,,
89,89,2022-09-08 00:00:00,20.176,8.11,6.084,242.012,45.817,0.766,0.002,0.006,0.252,,,,
90,90,2022-09-07 20:00:00,20.258,8.05,6.037,242.888,59.294,0.744,0.003,0.003,0.24,,,,
91,91,2022-09-07 16:00:00,20.306,8.08,5.888,242.596,47.333,0.563,0.003,0.005,0.258,,,,
92,92,2022-09-07 12:00:00,20.207,8.1,5.88,241.691,35.623,0.925,0.003,0.007,0.256,,,,
93,93,2022-09-07 08:00:00,20.202,8.14,5.911,240.496,42.651,0.72,0.003,0.008,0.273,,,,
94,94,2022-09-07 04:00:00,20.26,8.21,6.191,239.52,35.698,0.72,0.003,0.004,0.234,,,,
95,95,2022-09-07 00:00:00,20.4,8.18,6.193,240.617,52.397,0.72,0.002,0.006,0.238,,,,
96,96,2022-09-06 20:00:00,20.409,8.07,5.801,242.655,34.723,0.72,0.003,0.004,0.26,,,,
97,97,2022-09-06 16:00:00,20.411,8.11,6.072,241.184,47.16,0.72,0.003,0.006,0.293,,,,
98,98,2022-09-06 12:00:00,20.407,8.11,5.922,241.277,29.216,0.72,0.005,0.007,0.229,,,,
99,99,2022-09-06 08:00:00,20.324,8.15,5.907,240.905,4.832,0.72,0.003,0.006,0.229,,,,
100,100,2022-09-06 04:00:00,20.413,8.17,6.041,240.729,42.143,0.753,0.002,0.007,0.229,,,,
101,101,2022-09-06 00:00:00,20.422,8.19,6.221,240.216,46.675,0.82,0.002,0.003,0.234,,,,
102,102,2022-09-05 20:00:00,20.446,8.19,6.182,240.678,52.327,0.79,0.004,0.005,0.238,,,,
103,103,2022-09-05 16:00:00,20.484,8.11,6.054,242.28,58.179,0.799,0.004,0.007,0.221,,,,
104,104,2022-09-05 12:00:00,20.456,8.12,5.975,242.269,63.547,0.725,0.004,0.007,0.245,,,,
105,105,2022-09-05 08:00:00,20.454,8.14,5.968,241.977,34.182,0.786,0.003,0.004,0.243,,,,
106,106,2022-09-05 04:00:00,20.595,8.09,5.767,242.531,29.277,0.794,0.003,0.006,0.265,,,,
107,107,2022-09-05 00:00:00,20.682,8.21,6.172,239.856,47.473,0.849,0.002,0.004,0.236,,,,
108,108,2022-09-04 20:00:00,20.8,8.21,6.305,239.514,48.708,0.698,0.003,0.007,0.228,,,,
109,109,2022-09-04 16:00:00,20.904,8.19,6.172,240.102,30.722,0.624,0.003,0.006,0.221,,,,
110,110,2022-09-04 12:00:00,20.89,8.14,5.914,241.417,41.993,0.673,0.003,0.007,0.26,,,,
111,111,2022-09-04 08:00:00,20.903,8.09,5.918,241.439,65.501,0.774,0.002,0.005,0.239,,,,
112,112,2022-09-04 04:00:00,20.974,8.11,5.896,239.879,21.373,0.748,0.002,0.006,0.244,,,,
113,113,2022-09-04 00:00:00,21.074,8.22,6.222,237.61,35.6,0.804,0.002,0.005,0.234,,,,
114,114,2022-09-03 20:00:00,21.207,8.22,6.364,236.917,33.045,0.597,0.002,0.008,0.248,,,,
115,115,2022-09-03 16:00:00,21.309,8.18,6.308,237.396,34.262,0.79,0.002,0.004,0.223,,,,
116,116,2022-09-03 12:00:00,21.24,8.12,5.833,241.933,22.832,0.7,0.003,0.006,0.26,,,,
117,117,2022-09-03 08:00:00,21.082,8.05,5.655,243.261,11.356,0.946,0.002,0.007,0.259,,,,
118,118,2022-09-03 04:00:00,21.127,8.03,5.74,242.567,13.044,0.652,0.003,0.006,0.24,,,,
119,119,2022-09-03 00:00:00,21.136,8.12,5.846,240.783,7.224,0.79,0.003,0.007,0.237,,,,
120,120,2022-09-02 20:00:00,21.138,8.21,6.26,238.56,19.685,0.774,0.001,0.006,0.243,,,,
121,121,2022-09-02 16:00:00,21.223,8.19,6.253,239.019,22.981,0.959,0.0,0.005,0.247,,,,
122,122,2022-09-02 12:00:00,21.043,8.13,6.019,240.593,7.779,0.765,0.002,0.007,0.248,,,,
123,123,2022-09-02 08:00:00,20.96,8.11,5.747,241.607,7.63,0.883,0.002,0.007,0.305,,,,
124,124,2022-09-02 04:00:00,21.007,8.12,5.931,240.672,7.448,0.761,0.002,0.005,0.229,,,,
125,125,2022-09-02 00:00:00,21.075,8.21,6.069,239.461,5.546,0.968,0.002,0.008,0.256,,,,
126,126,2022-09-01 20:00:00,21.204,8.23,6.25,238.696,5.858,0.862,0.001,0.007,0.254,,,,
127,127,2022-09-01 16:00:00,21.296,8.16,6.026,239.501,5.686,0.826,0.002,0.005,0.257,,,,
128,128,2022-09-01 12:00:00,21.266,8.14,5.955,239.526,5.858,0.671,0.001,0.008,0.26,,,,
129,129,2022-09-01 08:00:00,21.266,8.15,5.925,239.378,6.781,0.858,0.002,0.008,0.268,,,,
130,130,2022-09-01 04:00:00,21.376,8.18,6.027,238.559,6.054,0.862,0.001,0.008,0.268,,,,
131,131,2022-09-01 00:00:00,21.599,8.18,5.981,239.845,6.576,0.854,0.001,0.006,0.271,,,,
132,132,2022-08-31 20:00:00,21.631,8.18,6.039,239.489,5.858,0.82,0.0,0.005,0.264,,,,
133,133,2022-08-31 16:00:00,21.713,8.16,5.836,239.526,4.944,0.505,0.002,0.005,0.24,,,,
134,134,2022-08-31 12:00:00,21.686,8.15,5.848,240.717,5.914,0.799,0.003,0.008,0.268,,,,
135,135,2022-08-31 08:00:00,21.602,8.15,5.93,240.387,7.257,0.892,0.002,0.007,0.282,,,,
136,136,2022-08-31 04:00:00,21.688,8.17,5.95,238.967,8.25,0.875,0.001,0.008,0.296,,,,
137,137,2022-08-31 00:00:00,21.768,8.19,6.096,237.96,7.103,0.82,0.0,0.007,0.265,,,,
138,138,2022-08-30 20:00:00,21.853,8.24,6.281,236.46,6.115,0.863,0.0,0.006,0.252,,,,
139,139,2022-08-30 16:00:00,21.934,8.28,6.286,236.755,10.19,0.905,0.0,0.006,0.292,,,,
